country,year,foradl_lop_avlopp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,61023.2
eu_three,2009,60753.4
eu_three,2010,66335
eu_three,2011,69485
eu_three,2012,69841.6
eu_three,2013,70812.1
eu_three,2014,72564
eu_three,2015,74604.5
eu_three,2016,75779.2
eu_three,2017,79334.1
eu_three,2018,82378.3
eu_three,2019,85065.3
eu_three,2020,86079.6
eu_three,2021,94824.4
eu_three,2022,101146.1
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1680.7
bel,2009,2011.8
bel,2010,2193
bel,2011,2334.4
bel,2012,2422.7
bel,2013,2393.1
bel,2014,2457.5
bel,2015,2455.1
bel,2016,2488
bel,2017,2658
bel,2018,2677.2
bel,2019,2769
bel,2020,2823.1
bel,2021,3002.2
bel,2022,3260.1
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,109
bgr,2009,112.5
bgr,2010,152.5
bgr,2011,190
bgr,2012,170.7
bgr,2013,195.7
bgr,2014,218.3
bgr,2015,251.8
bgr,2016,267.7
bgr,2017,277.9
bgr,2018,253.2
bgr,2019,344.4
bgr,2020,336.9
bgr,2021,286.5
bgr,2022,304.5
bgr,2023,355.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1021.3
cze,2009,956.6
cze,2010,1074.3
cze,2011,1149.5
cze,2012,1030.3
cze,2013,921.6
cze,2014,932.7
cze,2015,929.8
cze,2016,957.5
cze,2017,1066.8
cze,2018,1153.1
cze,2019,1195.5
cze,2020,1242.8
cze,2021,1498.9
cze,2022,1614.6
cze,2023,1677.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1352.7
dnk,2009,1374.9
dnk,2010,1420.9
dnk,2011,1461.9
dnk,2012,1480.9
dnk,2013,1454.3
dnk,2014,1504.7
dnk,2015,1614.4
dnk,2016,1658.9
dnk,2017,1555.7
dnk,2018,1686.1
dnk,2019,1663.6
dnk,2020,1782
dnk,2021,2001.1
dnk,2022,1962.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,17562
deu,2009,17596
deu,2010,18578
deu,2011,20260
deu,2012,20876
deu,2013,20851
deu,2014,22621
deu,2015,23683
deu,2016,24010
deu,2017,25495
deu,2018,26738
deu,2019,28053
deu,2020,28640
deu,2021,29092
deu,2022,32183
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,87.1
est,2009,61.1
est,2010,71.8
est,2011,64.7
est,2012,66.3
est,2013,60.1
est,2014,68.4
est,2015,65.2
est,2016,76.4
est,2017,91.4
est,2018,94
est,2019,107.5
est,2020,96.3
est,2021,149.3
est,2022,111.4
est,2023,94.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,868.6
irl,2009,707.5
irl,2010,667.5
irl,2011,522.2
irl,2012,619.3
irl,2013,661.9
irl,2014,694.7
irl,2015,727.1
irl,2016,751.8
irl,2017,862.2
irl,2018,931.6
irl,2019,1041.5
irl,2020,972.3
irl,2021,1216.3
irl,2022,1414.3
irl,2023,1476.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1544.7
grc,2009,1776.5
grc,2010,1552
grc,2011,1363.6
grc,2012,1403.2
grc,2013,1440.7
grc,2014,1348.1
grc,2015,1386.6
grc,2016,1408.2
grc,2017,1322.9
grc,2018,1305.6
grc,2019,1388.3
grc,2020,1129
grc,2021,1077
grc,2022,1033.4
grc,2023,1274.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,5232
esp,2009,5222
esp,2010,5897
esp,2011,6180
esp,2012,6447
esp,2013,6627
esp,2014,6357
esp,2015,6449
esp,2016,6880
esp,2017,7069
esp,2018,7331
esp,2019,7720
esp,2020,7846
esp,2021,8686
esp,2022,9359
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,9086.3
fra,2009,8699.6
fra,2010,10119.6
fra,2011,10431.5
fra,2012,10368.6
fra,2013,10365.4
fra,2014,10110.7
fra,2015,10046.1
fra,2016,10007.1
fra,2017,10625.2
fra,2018,10751.6
fra,2019,10450.3
fra,2020,9370.1
fra,2021,11922
fra,2022,12233.6
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,218.3
hrv,2009,216.4
hrv,2010,253.6
hrv,2011,256.4
hrv,2012,260.4
hrv,2013,277.9
hrv,2014,296.9
hrv,2015,298.9
hrv,2016,292.6
hrv,2017,306.8
hrv,2018,336.5
hrv,2019,346
hrv,2020,483.1
hrv,2021,590.5
hrv,2022,656.6
hrv,2023,689.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,9063.7
ita,2009,9406.2
ita,2010,9850.4
ita,2011,9943.1
ita,2012,9948.4
ita,2013,10279.8
ita,2014,10501
ita,2015,10362.9
ita,2016,10496
ita,2017,10972.4
ita,2018,11249.9
ita,2019,11636.6
ita,2020,12080.8
ita,2021,13609.8
ita,2022,13986.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,59
cyp,2009,61.5
cyp,2010,76.8
cyp,2011,83.4
cyp,2012,97.8
cyp,2013,100.6
cyp,2014,101.5
cyp,2015,101.9
cyp,2016,108.5
cyp,2017,118.2
cyp,2018,98.2
cyp,2019,105.9
cyp,2020,104.3
cyp,2021,116.5
cyp,2022,143.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,133.7
lva,2009,160.9
lva,2010,114.8
lva,2011,122
lva,2012,128
lva,2013,124.5
lva,2014,127.2
lva,2015,139.4
lva,2016,134.9
lva,2017,140.8
lva,2018,160
lva,2019,166.2
lva,2020,174.7
lva,2021,183.6
lva,2022,229.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,121.8
ltu,2009,110.1
ltu,2010,129.5
ltu,2011,262.5
ltu,2012,273.2
ltu,2013,297.5
ltu,2014,309.3
ltu,2015,274.8
ltu,2016,290.5
ltu,2017,338.7
ltu,2018,332.3
ltu,2019,341.4
ltu,2020,348.8
ltu,2021,391.6
ltu,2022,399.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,110
lux,2009,119.3
lux,2010,132
lux,2011,140
lux,2012,141.1
lux,2013,161.4
lux,2014,180
lux,2015,192.7
lux,2016,199.3
lux,2017,193.1
lux,2018,202.3
lux,2019,209.2
lux,2020,213.4
lux,2021,221.2
lux,2022,239.1
lux,2023,224.4
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,613.4
hun,2009,568.1
hun,2010,615.4
hun,2011,630.5
hun,2012,558.8
hun,2013,525.3
hun,2014,489.1
hun,2015,516
hun,2016,579.9
hun,2017,622.6
hun,2018,601.2
hun,2019,637.1
hun,2020,598.8
hun,2021,759.6
hun,2022,764.2
hun,2023,862.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2822
nld,2009,2654
nld,2010,2607
nld,2011,2838
nld,2012,2819
nld,2013,2902
nld,2014,3070
nld,2015,3140
nld,2016,3138
nld,2017,3206
nld,2018,3316
nld,2019,3240
nld,2020,3271
nld,2021,3619
nld,2022,4130
nld,2023,4112
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2179.7
aut,2009,2245.1
aut,2010,2314
aut,2011,2373.5
aut,2012,2474.9
aut,2013,2482.7
aut,2014,2612.8
aut,2015,2636.4
aut,2016,2732.3
aut,2017,2817.1
aut,2018,2940.3
aut,2019,2994.9
aut,2020,2958
aut,2021,3122.1
aut,2022,3237.6
aut,2023,3132.8
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2727.1
pol,2009,2436
pol,2010,2822.7
pol,2011,2826.5
pol,2012,2879.8
pol,2013,2941.5
pol,2014,3178.5
pol,2015,3478.4
pol,2016,3574.4
pol,2017,3869.2
pol,2018,4172
pol,2019,4441.5
pol,2020,5008.3
pol,2021,5571.5
pol,2022,5848.4
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,770.5
prt,2009,841.9
prt,2010,977.6
prt,2011,1004.8
prt,2012,999.8
prt,2013,982.6
prt,2014,958.3
prt,2015,942.2
prt,2016,926.8
prt,2017,901.8
prt,2018,939.6
prt,2019,961.1
prt,2020,1039.4
prt,2021,1150.1
prt,2022,1129.7
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,557
rou,2009,562.8
rou,2010,1507
rou,2011,1722.1
rou,2012,805.4
rou,2013,866.9
rou,2014,780.4
rou,2015,866.1
rou,2016,895.2
rou,2017,878.1
rou,2018,1090.1
rou,2019,1246.3
rou,2020,1354.7
rou,2021,1687.1
rou,2022,1725.5
rou,2023,2211.9
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,176.6
svn,2009,157.8
svn,2010,178.5
svn,2011,191.5
svn,2012,185.8
svn,2013,191.8
svn,2014,190.4
svn,2015,194
svn,2016,190.4
svn,2017,192.2
svn,2018,199.2
svn,2019,207.3
svn,2020,234.1
svn,2021,284.1
svn,2022,281.7
svn,2023,283.2
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,393.3
svk,2009,342.9
svk,2010,347.3
svk,2011,332.4
svk,2012,369.5
svk,2013,496.7
svk,2014,362.8
svk,2015,406.6
svk,2016,368.3
svk,2017,390
svk,2018,439.5
svk,2019,462.5
svk,2020,467.8
svk,2021,521.8
svk,2022,562.4
svk,2023,576.6
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,920
fin,2009,960
fin,2010,1126
fin,2011,1135
fin,2012,1159
fin,2013,1235
fin,2014,1285
fin,2015,1312
fin,2016,1316
fin,2017,1317
fin,2018,1340
fin,2019,1315
fin,2020,1340
fin,2021,1527
fin,2022,1554
fin,2023,1467
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1584
swe,2009,1340.2
swe,2010,1520
swe,2011,1641.8
swe,2012,1846.9
swe,2013,1962
swe,2014,1798.3
swe,2015,2098.8
swe,2016,1980.9
swe,2017,1990.6
swe,2018,1994.3
swe,2019,1983.5
swe,2020,2096.7
swe,2021,2469.7
swe,2022,2740.1
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,62.3
isl,2009,52.5
isl,2010,59.2
isl,2011,66.8
isl,2012,72.9
isl,2013,85.2
isl,2014,82.3
isl,2015,86.5
isl,2016,106.6
isl,2017,117
isl,2018,122.2
isl,2019,112.4
isl,2020,109.6
isl,2021,128.8
isl,2022,151.4
isl,2023,171.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1190.9
nor,2009,1105
nor,2010,1356
nor,2011,1478
nor,2012,1636.1
nor,2013,1555.6
nor,2014,1529.3
nor,2015,1554
nor,2016,1512.7
nor,2017,1716.3
nor,2018,1688.1
nor,2019,1737.9
nor,2020,1700.1
nor,2021,2054.5
nor,2022,2281.6
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1570.6
che,2009,1387.4
che,2010,1578.1
che,2011,1793.4
che,2012,1513.3
che,2013,1532.5
che,2014,1663.3
che,2015,1831.8
che,2016,1839.2
che,2017,1825.1
che,2018,1837.2
che,2019,1484.4
che,2020,1540
che,2021,1681.5
che,2022,1765.6
che,2023,1675.3
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,16298.3
gbr,2009,14990.9
gbr,2010,16106.7
gbr,2011,16655.5
gbr,2012,17299.9
gbr,2013,16189.4
gbr,2014,18163.5
gbr,2015,20725
gbr,2016,18371.4
gbr,2017,18213.2
gbr,2018,18196.9
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,57.5
bih,2009,56.4
bih,2010,67.2
bih,2011,67.7
bih,2012,72.7
bih,2013,68.2
bih,2014,71.6
bih,2015,70
bih,2016,70.4
bih,2017,85.1
bih,2018,86.5
bih,2019,90.2
bih,2020,90.9
bih,2021,108.8
bih,2022,115.1
bih,2023,106.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,23.3
mkd,2009,24.4
mkd,2010,34.3
mkd,2011,30.6
mkd,2012,30.9
mkd,2013,29.5
mkd,2014,33
mkd,2015,31.2
mkd,2016,34.8
mkd,2017,37
mkd,2018,37.7
mkd,2019,37.3
mkd,2020,40.1
mkd,2021,49.1
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,240.8
srb,2009,256.7
srb,2010,247.5
srb,2011,294.9
srb,2012,232.7
srb,2013,285.6
srb,2014,292.3
srb,2015,285.4
srb,2016,283.1
srb,2017,302.7
srb,2018,319.6
srb,2019,335.6
srb,2020,352.7
srb,2021,368.8
srb,2022,376.5
srb,2023,399.5
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
